#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 02 20 03 999 99.0 99.0  0.86 14.29  8.89 266 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 20 33 999 99.0 99.0  1.00 14.29  9.67 270 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 21 03 999 99.0 99.0  0.97 14.29  9.70 275 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 21 33 999 99.0 99.0  0.93 14.29  9.53 264 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 02 22 03 999 99.0 99.0  0.93 14.29  9.57 263 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 22 33 999 99.0 99.0  0.94 14.29  9.25 270 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 23 03 999 99.0 99.0  0.97 13.33  9.44 268 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 23 33 999 99.0 99.0  0.92 13.33  9.51 282 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 00 03 999 99.0 99.0  0.95 14.29  9.74 271 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 00 33 999 99.0 99.0  0.89 12.50  9.50 268 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 01 03 999 99.0 99.0  0.83 13.33  9.39 263 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 01 33 999 99.0 99.0  0.87 13.33  9.51 273 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 02 03 999 99.0 99.0  0.85 13.33  9.55 271 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 02 33 999 99.0 99.0  0.83 13.33  9.59 270 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 03 03 999 99.0 99.0  0.86 14.29  9.80 275 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 03 33 999 99.0 99.0  0.82 13.33  9.63 278 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 04 03 999 99.0 99.0  0.86 12.50 10.07 278 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 04 33 999 99.0 99.0  0.89 13.33  9.97 275 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 05 03 999 99.0 99.0  0.87 13.33  9.84 273 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 03 05 33 999 99.0 99.0  0.92 12.50 10.63 280 9999.0 999.0  16.1 999.0 99.0 99.00
2014 01 03 06 03 999 99.0 99.0  0.82 13.33 10.18 274 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 06 33 999 99.0 99.0  0.94 13.33 10.31 282 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 07 03 999 99.0 99.0  0.78 13.33  9.55 280 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 08 03 999 99.0 99.0  0.89 13.33  9.97 274 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 08 33 999 99.0 99.0  0.86 13.33  9.78 278 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 09 03 999 99.0 99.0  0.93 13.33 10.13 274 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 09 33 999 99.0 99.0  0.72 14.29  8.88 271 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 10 03 999 99.0 99.0  0.86 12.50  9.74 277 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 10 33 999 99.0 99.0  0.81 14.29  9.80 266 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 11 03 999 99.0 99.0  0.88 13.33  9.99 280 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 11 33 999 99.0 99.0  0.85 13.33  9.97 277 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 03 12 03 999 99.0 99.0  0.84 12.50 10.11 280 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 12 33 999 99.0 99.0  0.89 13.33 10.32 278 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 13 03 999 99.0 99.0  0.74 13.33  9.35 277 9999.0 999.0  16.3 999.0 99.0 99.00
